date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
13-01-2023,Bihar,Munger,1,PM2.5,386,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Assam,Nalbari,1,PM2.5,300,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tripura,Agartala,2,"PM2.5,PM10",244,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Koppal,1,CO,79,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Yamunanagar,1,PM2.5,215,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,West Bengal,Howrah,3,PM2.5,276,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Punjab,Patiala,1,PM10,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Kanchipuram,1,PM10,86,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Lucknow,6,PM2.5,259,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Punjab,Khanna,1,PM2.5,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Purnia,1,PM2.5,420,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Maharashtra,Navi Mumbai,3,PM2.5,213,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Rajasthan,Kota,1,PM10,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Andhra Pradesh,Tirupati,2,NO2,78,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Bulandshahr,1,PM2.5,248,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Kolar,1,SO2,167,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Sonipat,1,PM2.5,233,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Chhattisgarh,Bhilai,2,"PM2.5,O3",95,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Rajgir,1,PM2.5,392,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Odisha,Keonjhar,1,PM2.5,220,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Mizoram,Aizawl,1,PM10,54,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Chhattisgarh,Korba,2,PM10,95,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Satna,1,PM10,56,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Salem,1,SO2,90,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Jhansi,1,PM10,102,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Patna,6,PM2.5,327,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Ambala,1,PM10,75,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Rajasthan,Udaipur,1,PM10,141,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Motihari,1,PM10,184,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Ballabgarh,1,PM10,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Samastipur,1,PM2.5,331,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Chikkaballapur,1,PM10,139,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Jharkhand,Jorapokhar,1,PM10,175,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Rajasthan,Jaipur,3,"PM2.5,PM10",194,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Ramanathapuram,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Odisha,Nayagarh,1,PM2.5,161,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Muzaffarnagar,1,PM2.5,137,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Panchkula,1,PM2.5,65,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Gujarat,Vapi,1,PM2.5,202,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Palwal,1,PM10,79,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Begusarai,1,PM2.5,430,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Dewas,1,PM10,199,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
